id,age_band,region,role,device,network,digital_literacy,intent,accessibility_need,journey_completion,sentiment,primary_issue_code,primary_issue,resolution_status,evidence_level,evidence_ref,requested_feature_code,requested_feature,score_visual,score_clarity,score_navigation,score_planning,score_trust,score_mobile,score_accessibility,recommend_0_10,positive_note,criticism,comment
U00001,25-34,Other Vietnam,tourism_professional,desktop,wifi,average,trip_planning,none,partial,positive,TRIP_INFO_GAPS,"Chờ dữ liệu chính thức về quãng đường, chi phí hoặc lịch nhận khách",blocked_external,blocked_by_official_source,"evidence-deployed-latest.json#pageFacts.headings,anchors",booking_availability,lịch nhận khách và nút đặt/chuyển đầu mối,4.5,4.2,4.1,3.8,4.3,4.4,4.1,8,Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính.,"Tôi đã có mùa phù hợp, cách tiếp cận và đầu mối liên hệ; phần còn thiếu là chi phí chính thức nếu sau này có nguồn.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình desktop qua Wi‑Fi. Tôi xem cả trải nghiệm khách lẫn tính chính xác vận hành và chưa quen đường đến Trà Linh. Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính. Tôi đã có mùa phù hợp, cách tiếp cận và đầu mối liên hệ; phần còn thiếu là chi phí chính thức nếu sau này có nguồn. Đề xuất lịch nhận khách và nút đặt/chuyển đầu mối chỉ nên triển khai khi có nguồn chính thức và đơn vị chịu trách nhiệm."
U00002,35-44,Da Nang_Quang Nam,trekker,desktop,4g_weak,average,ginseng_products,none,partial,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.3,4.1,4.8,4,3.9,4.1,4.4,8,Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn.,"Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi muốn tìm hiểu sâm Ngọc Linh và sản vật trên laptop với 4G yếu. Tôi quen kiểm tra độ khó, quãng đường và rủi ro trước khi đi và có thể xuất phát từ khu vực Đà Nẵng–Quảng Nam. Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00003,25-34,Other Vietnam,student,mobile,4g_good,average,inspiration,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.7,4.7,4.2,4.3,4.5,4.9,4.4,8,"Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc.","Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới ở màn hình nhỏ qua 4G ổn định. Tôi ưu tiên thông tin ngắn gọn và chi phí vừa túi tiền và chưa quen đường đến Trà Linh. Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00004,25-34,Other Vietnam,office_worker,desktop,3g,advanced,trip_planning,none,completed,mixed,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.8,4.3,3.9,4.2,5,4.8,4.2,7,Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn.,"Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi vào trang để lên kế hoạch chuyến đi thật bằng máy tính với mạng 3G. Tôi thường so sánh kỹ trước khi xin nghỉ phép và chưa quen đường đến Trà Linh. Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00005,25-34,Da Nang_Quang Nam,small_business,mobile,wifi,basic,ginseng_products,none,partial,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.6,3.7,4,4.3,3.8,3.9,4.5,8,"Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường.","Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi muốn tìm hiểu sâm Ngọc Linh và sản vật trên điện thoại qua Wi‑Fi. Tôi để ý đầu mối liên hệ và cơ hội kết nối địa phương và có thể xuất phát từ khu vực Đà Nẵng–Quảng Nam. Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00006,18-24,International,family_trip_planner,tablet,4g_weak,advanced,trekking,none,abandoned,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4,5,3.9,5,4.3,4.7,9,"Thông tin liên hệ cuối trang cụ thể, có điện thoại và email.","Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi quan tâm trekking và an toàn đường rừng ở màn hình tablet với 4G yếu. Tôi phải cân nhắc an toàn và sức của cả gia đình và không thể dựa hoàn toàn vào nội dung tiếng Việt. Thông tin liên hệ cuối trang cụ thể, có điện thoại và email. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00007,55-64,Ho Chi Minh_South,office_worker,desktop,4g_weak,basic,trip_planning,none,completed,mixed,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.7,4.1,4.4,4.3,4.9,4.3,6,"Thông tin liên hệ cuối trang cụ thể, có điện thoại và email.","Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình desktop với 4G yếu. Tôi thường so sánh kỹ trước khi xin nghỉ phép và cần tính thêm chặng dài từ phía Nam. Thông tin liên hệ cuối trang cụ thể, có điện thoại và email. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00008,18-24,Ho Chi Minh_South,content_creator,mobile,4g_good,advanced,xo_dang_culture,none,abandoned,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.1,5,4.7,4.4,4.9,5,10,Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn.,"Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi muốn hiểu văn hóa Xơ Đăng một cách tôn trọng trên điện thoại qua 4G ổn định. Tôi chú ý câu chuyện, hình ảnh và khả năng chia sẻ và cần tính thêm chặng dài từ phía Nam. Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00009,65+,Central Vietnam,family_trip_planner,mobile,4g_good,basic,ginseng_products,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,3.8,4,3.7,4.8,4.8,5,10,"Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc.","Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi muốn tìm hiểu sâm Ngọc Linh và sản vật bằng điện thoại qua 4G ổn định. Tôi phải cân nhắc an toàn và sức của cả gia đình và dự tính di chuyển từ miền Trung. Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00010,65+,Central Vietnam,retired_traveler,desktop,4g_weak,basic,trip_planning,none,completed,mixed,OFFICIAL_EVENTS_REQUEST,Chờ nguồn chính thức cho lịch sự kiện và cảnh báo chủ động,blocked_external,blocked_by_official_source,evidence-deployed-latest.json#featureChecks,official_events_feed,nguồn lịch sự kiện chính thức có lịch cập nhật,4.4,4.3,3.5,3.1,3.6,4.8,4.9,6,Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn.,"Nếu địa phương công bố lịch sự kiện và đầu mối cập nhật ổn định, tôi muốn website bổ sung sau; hiện tại không nên tự suy đoán.","Tôi vào trang để lên kế hoạch chuyến đi thật trên laptop với 4G yếu. Tôi cần chữ dễ đọc và nhịp tham quan không quá gấp và dự tính di chuyển từ miền Trung. Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn. Nếu địa phương công bố lịch sự kiện và đầu mối cập nhật ổn định, tôi muốn website bổ sung sau; hiện tại không nên tự suy đoán. Đề xuất nguồn lịch sự kiện chính thức có lịch cập nhật chỉ nên triển khai khi có nguồn chính thức và đơn vị chịu trách nhiệm."
